epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,797.043,0.48179,0.27477,0.86238,0.9873,0.99325,0.99327,0.7624,0.7012,0.26627,0.80579,9.25129e-05,9.25129e-05,9.25129e-05
89,805.719,0.47556,0.26458,0.86645,0.9889,0.98054,0.99289,0.77422,0.68528,0.26621,0.79358,8.59096e-05,8.59096e-05,8.59096e-05
90,814.127,0.48777,0.27204,0.87296,0.99087,0.98038,0.99388,0.75193,0.77045,0.28445,0.84443,7.93063e-05,7.93063e-05,7.93063e-05
91,824.605,0.42914,0.22383,0.83679,0.98721,0.98567,0.99376,0.76101,0.71458,0.26481,0.81311,7.2703e-05,7.2703e-05,7.2703e-05
92,833.292,0.42554,0.22242,0.83101,0.9855,0.98713,0.99399,0.7558,0.72361,0.26838,0.81957,6.60997e-05,6.60997e-05,6.60997e-05
93,842.041,0.42463,0.21955,0.83325,0.98404,0.9932,0.9938,0.75563,0.73619,0.27055,0.82981,5.94964e-05,5.94964e-05,5.94964e-05
94,850.877,0.40365,0.21495,0.83181,0.98085,0.99289,0.99381,0.76164,0.72739,0.26599,0.82179,5.28931e-05,5.28931e-05,5.28931e-05
95,859.633,0.40242,0.21446,0.83158,0.9857,0.98941,0.99401,0.76074,0.72345,0.26898,0.82232,4.62898e-05,4.62898e-05,4.62898e-05
96,868.563,0.39915,0.21432,0.8204,0.98114,0.99369,0.99394,0.76254,0.71868,0.26305,0.82167,3.96865e-05,3.96865e-05,3.96865e-05
97,877.324,0.39167,0.2091,0.82817,0.98689,0.98883,0.99434,0.75977,0.72416,0.2654,0.82322,3.30832e-05,3.30832e-05,3.30832e-05
98,885.855,0.3869,0.21061,0.82134,0.98348,0.9935,0.99363,0.76482,0.70143,0.2606,0.80964,2.64799e-05,2.64799e-05,2.64799e-05
99,894.608,0.38513,0.20599,0.81811,0.9845,0.99497,0.99363,0.76206,0.71239,0.26514,0.81811,1.98766e-05,1.98766e-05,1.98766e-05
100,903.373,0.37975,0.20748,0.82381,0.98465,0.99533,0.99352,0.76315,0.71565,0.26169,0.81787,1.32733e-05,1.32733e-05,1.32733e-05
